component_id,mean,sum,count,min,max
5,86.957718,88.000000,0.988156,0.973646,0.995871
4,19.559530,20.000000,0.977977,0.961255,0.990566
3,94.231010,96.000000,0.981573,0.970905,0.993958
2,82.763481,84.000000,0.985280,0.971819,0.995039
1,11.843165,12.000000,0.986930,0.976837,0.994000
0,15.753321,16.000000,0.984583,0.977184,0.991419
13,64.941803,66.000000,0.983967,0.961810,0.995109
14,23.645763,24.000000,0.985240,0.974732,0.994402
15,98.482307,100.000000,0.984823,0.972013,0.995269
16,108.053474,110.000000,0.982304,0.960871,0.994353
17,58.872276,60.000000,0.981205,0.963109,0.995020
18,47.148560,48.000000,0.982262,0.966828,0.993088
19,11.827526,12.000000,0.985627,0.976142,0.990832
20,11.729784,12.000000,0.977482,0.975316,0.981801
21,192.621658,196.000000,0.982764,0.960856,0.994965
22,96.402863,98.000000,0.983703,0.960843,0.995001
24,15.805838,16.000000,0.987865,0.982617,0.994078
25,70.639313,72.000000,0.981102,0.969070,0.991970
26,102.217690,104.000000,0.982862,0.963186,0.993920
27,39.086803,40.000000,0.977170,0.962287,0.994955
28,3.966804,4.000000,0.991701,0.991701,0.991701
59,19.735523,20.000000,0.986776,0.976902,0.992997
60,23.638569,24.000000,0.984940,0.972526,0.991141
61,131.395401,134.000000,0.980563,0.962716,0.995005
62,43.180477,44.000000,0.981375,0.970663,0.993841
63,3.973514,4.000000,0.993378,0.993378,0.993378
64,15.781988,16.000000,0.986374,0.973020,0.993625
65,11.766069,12.000000,0.980506,0.971993,0.995655
66,74.562836,76.000000,0.981090,0.969001,0.993900
67,27.566093,28.000000,0.984503,0.976140,0.992794
68,11.705699,12.000000,0.975475,0.973237,0.979808
69,145.538696,148.000000,0.983370,0.965706,0.995748
70,3.970025,4.000000,0.992506,0.992506,0.992506
71,15.866727,16.000000,0.991670,0.989440,0.992846
72,27.627974,28.000000,0.986713,0.973109,0.991305
73,15.701879,16.000000,0.981367,0.974400,0.992312
74,66.732056,68.000000,0.981354,0.967390,0.994806
75,11.803814,12.000000,0.983651,0.978551,0.992867
76,68.574448,70.000000,0.979635,0.963583,0.993814
77,55.178650,56.000000,0.985333,0.973541,0.994847
78,11.814960,12.000000,0.984580,0.979143,0.992994
79,47.222744,48.000000,0.983807,0.967117,0.994856
80,133.689636,136.000000,0.983012,0.968743,0.994556
81,15.770541,16.000000,0.985659,0.978231,0.993189
82,31.314707,32.000000,0.978585,0.964085,0.991463
83,11.835328,12.000000,0.986277,0.975744,0.991894
84,11.882722,12.000000,0.990227,0.983615,0.994415
85,11.817280,12.000000,0.984773,0.972534,0.993501
86,867.568176,880.000000,0.985873,0.963958,0.996634
87,1899.433838,1924.000000,0.987232,0.967315,0.996508
88,23.621862,24.000000,0.984244,0.965530,0.993231
89,736.569214,748.000000,0.984718,0.962674,0.995500
90,31.539598,32.000000,0.985612,0.979430,0.993719
91,11.856897,12.000000,0.988075,0.983626,0.990900
92,11.827470,12.000000,0.985622,0.978776,0.991362
94,39.535431,40.000000,0.988386,0.976745,0.994130
95,15.803657,16.000000,0.987729,0.981027,0.994265
96,43.271519,44.000000,0.983444,0.974714,0.990174
97,11.842566,12.000000,0.986881,0.984526,0.989073
98,7.861102,8.000000,0.982638,0.979333,0.984375
99,11.913060,12.000000,0.992755,0.990172,0.996613
100,564.982117,572.000000,0.987731,0.963722,0.997822
101,35.162548,36.000000,0.976737,0.960084,0.987922
102,19.689672,20.000000,0.984484,0.977192,0.993179
103,37.209930,38.000000,0.979209,0.961230,0.993372
104,204.167542,208.000000,0.981575,0.969090,0.993612
105,84.340263,86.000000,0.980701,0.964883,0.994930
106,51.068153,52.000000,0.982080,0.969050,0.994570
107,380.706848,388.000000,0.981203,0.962512,0.995729
108,27.445974,28.000000,0.980213,0.961290,0.991524
109,41.029247,42.000000,0.976887,0.965748,0.993532
110,15.740896,16.000000,0.983806,0.975581,0.991623
111,66.545952,68.000000,0.978617,0.965317,0.994950
112,86.553894,88.000000,0.983567,0.969545,0.994247
113,134.682541,138.000000,0.975960,0.960630,0.991754
114,190.456360,194.000000,0.981734,0.965601,0.993725
115,169.697693,174.000000,0.975274,0.960030,0.992790
116,11.846468,12.000000,0.987206,0.979227,0.992554
117,74.407585,76.000000,0.979047,0.963969,0.992589
118,11.781883,12.000000,0.981824,0.968280,0.991569
119,33.080338,34.000000,0.972951,0.961082,0.989522
120,99.541222,102.000000,0.975894,0.960801,0.992543
121,39.153275,40.000000,0.978832,0.965226,0.991704
