index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
3347,640,480,256,679.9871,94.4360,0.0000,255.0000,66.3922,35159,1.0000
3348,640,480,256,452.7738,104.3981,0.0000,255.0000,72.3749,36789,1.0000
3349,640,480,227,288.1706,54.6811,0.0000,232.0000,58.5805,20495,1.0000
3350,640,480,256,306.8567,71.7521,0.0000,255.0000,74.3598,23521,1.0000
3351,640,480,256,429.0534,86.1184,0.0000,255.0000,66.6253,27412,1.0000
3352,640,480,256,564.5731,70.2770,0.0000,255.0000,81.5724,27538,1.0000
3353,640,480,256,202.0992,78.6941,0.0000,255.0000,80.2315,24218,1.0000
3354,640,480,256,328.0921,69.0266,0.0000,255.0000,74.7418,22884,1.0000
3355,640,480,256,306.7076,69.9027,0.0000,255.0000,75.2210,22848,1.0000
3356,640,480,256,198.8270,76.5873,0.0000,255.0000,80.7698,23268,1.0000
3357,640,480,256,296.2797,63.4350,0.0000,255.0000,73.5307,21718,1.0000
3358,640,480,256,194.1219,69.5887,0.0000,255.0000,79.0499,22603,1.0000
3359,640,480,256,186.4224,76.2926,0.0000,255.0000,80.2735,23116,1.0000
3360,640,480,256,370.3103,107.4670,0.0000,255.0000,68.6618,28590,1.0000
3361,640,480,256,265.5560,115.8301,0.0000,255.0000,71.9861,26789,1.0000
3362,640,480,228,295.8832,86.0799,0.0000,228.0000,54.9967,24758,1.0000
3363,640,480,256,400.2100,91.1859,0.0000,255.0000,63.9798,28053,1.0000
3364,640,480,256,319.3090,99.0066,0.0000,255.0000,69.0510,30848,1.0000
3365,640,480,224,312.8750,73.1445,0.0000,226.0000,51.2784,24289,1.0000
3366,640,480,256,433.3102,90.2731,0.0000,255.0000,63.5085,29071,1.0000
3367,640,480,256,460.5548,103.3696,0.0000,255.0000,71.8555,37653,1.0000
3368,640,480,229,527.5974,74.7520,0.0000,228.0000,52.6064,31195,1.0000
3369,640,480,256,358.3558,85.8902,0.0000,255.0000,65.5382,28232,1.0000
3370,640,480,256,306.4659,75.9152,0.0000,255.0000,73.4557,23733,1.0000
3371,640,480,229,231.1099,60.8085,0.0000,232.0000,58.7585,20540,1.0000
3372,640,480,256,315.6534,80.8956,0.0000,255.0000,73.5201,24544,1.0000
3373,640,480,231,239.0618,64.7713,0.0000,237.0000,58.8237,21140,1.0000
3374,640,480,256,178.9360,89.8942,0.0000,255.0000,77.8838,24585,1.0000
3375,640,480,256,316.4792,92.5812,0.0000,255.0000,72.2581,29748,1.0000
3376,640,480,256,269.0686,85.8377,0.0000,255.0000,72.3696,25102,1.0000
3377,640,480,227,212.1599,68.7368,0.0000,232.0000,57.9496,21727,1.0000
3378,640,480,256,230.4051,81.8946,0.0000,255.0000,68.3159,25122,1.0000
3379,640,480,226,191.3967,65.6913,0.0000,229.0000,54.8075,21833,1.0000
3380,640,480,230,249.8716,67.4070,0.0000,233.0000,54.5101,23734,1.0000
3381,640,480,224,288.9411,68.1687,0.0000,227.0000,53.4918,23461,1.0000
3382,640,480,256,307.8229,89.7535,0.0000,255.0000,66.5657,28751,1.0000
3383,640,480,256,241.8237,98.1169,0.0000,255.0000,71.8783,31264,1.0000
3384,640,480,256,279.9717,92.9648,0.0000,255.0000,63.4546,27084,1.0000
