__id,component_id,sum,count,mean_distance,min_distance,max_distance
164,25,70.6393,72.0000,0.9811,0.9691,0.9920
165,25,70.6393,72.0000,0.9811,0.9691,0.9920
166,25,70.6393,72.0000,0.9811,0.9691,0.9920
167,25,70.6393,72.0000,0.9811,0.9691,0.9920
168,21,192.6217,196.0000,0.9828,0.9609,0.9950
169,21,192.6217,196.0000,0.9828,0.9609,0.9950
170,24,15.8058,16.0000,0.9879,0.9826,0.9941
171,24,15.8058,16.0000,0.9879,0.9826,0.9941
172,27,39.0868,40.0000,0.9772,0.9623,0.9950
173,27,39.0868,40.0000,0.9772,0.9623,0.9950
174,28,3.9668,4.0000,0.9917,0.9917,0.9917
175,12,141.6758,144.0000,0.9839,0.9655,0.9941
176,28,3.9668,4.0000,0.9917,0.9917,0.9917
177,27,39.0868,40.0000,0.9772,0.9623,0.9950
178,27,39.0868,40.0000,0.9772,0.9623,0.9950
179,27,39.0868,40.0000,0.9772,0.9623,0.9950
180,27,39.0868,40.0000,0.9772,0.9623,0.9950
181,27,39.0868,40.0000,0.9772,0.9623,0.9950
182,27,39.0868,40.0000,0.9772,0.9623,0.9950
183,27,39.0868,40.0000,0.9772,0.9623,0.9950
184,27,39.0868,40.0000,0.9772,0.9623,0.9950
185,29,11.5929,12.0000,0.9661,0.9607,0.9747
186,30,11.8083,12.0000,0.9840,0.9723,0.9920
187,30,11.8083,12.0000,0.9840,0.9723,0.9920
188,30,11.8083,12.0000,0.9840,0.9723,0.9920
189,29,11.5929,12.0000,0.9661,0.9607,0.9747
190,31,31.2964,32.0000,0.9780,0.9637,0.9933
191,31,31.2964,32.0000,0.9780,0.9637,0.9933
192,31,31.2964,32.0000,0.9780,0.9637,0.9933
193,31,31.2964,32.0000,0.9780,0.9637,0.9933
194,31,31.2964,32.0000,0.9780,0.9637,0.9933
195,12,141.6758,144.0000,0.9839,0.9655,0.9941
196,31,31.2964,32.0000,0.9780,0.9637,0.9933
197,31,31.2964,32.0000,0.9780,0.9637,0.9933
198,31,31.2964,32.0000,0.9780,0.9637,0.9933
199,29,11.5929,12.0000,0.9661,0.9607,0.9747
200,32,11.8432,12.0000,0.9869,0.9812,0.9908
201,12,141.6758,144.0000,0.9839,0.9655,0.9941
202,32,11.8432,12.0000,0.9869,0.9812,0.9908
203,33,0.0000,0.0000,0.0000,0.0000,0.0000
204,29,11.5929,12.0000,0.9661,0.9607,0.9747
205,34,47.0656,48.0000,0.9805,0.9651,0.9933
206,34,47.0656,48.0000,0.9805,0.9651,0.9933
207,12,141.6758,144.0000,0.9839,0.9655,0.9941
208,16,108.0535,110.0000,0.9823,0.9609,0.9944
209,34,47.0656,48.0000,0.9805,0.9651,0.9933
210,35,74.2061,76.0000,0.9764,0.9607,0.9936
211,35,74.2061,76.0000,0.9764,0.9607,0.9936
212,35,74.2061,76.0000,0.9764,0.9607,0.9936
213,35,74.2061,76.0000,0.9764,0.9607,0.9936
214,21,192.6217,196.0000,0.9828,0.9609,0.9950
215,21,192.6217,196.0000,0.9828,0.9609,0.9950
216,35,74.2061,76.0000,0.9764,0.9607,0.9936
217,35,74.2061,76.0000,0.9764,0.9607,0.9936
218,35,74.2061,76.0000,0.9764,0.9607,0.9936
219,35,74.2061,76.0000,0.9764,0.9607,0.9936
220,34,47.0656,48.0000,0.9805,0.9651,0.9933
221,34,47.0656,48.0000,0.9805,0.9651,0.9933
222,34,47.0656,48.0000,0.9805,0.9651,0.9933
223,12,141.6758,144.0000,0.9839,0.9655,0.9941
224,34,47.0656,48.0000,0.9805,0.9651,0.9933
225,34,47.0656,48.0000,0.9805,0.9651,0.9933
226,35,74.2061,76.0000,0.9764,0.9607,0.9936
227,8,184.7370,188.0000,0.9826,0.9611,0.9948
228,8,184.7370,188.0000,0.9826,0.9611,0.9948
229,21,192.6217,196.0000,0.9828,0.9609,0.9950
230,35,74.2061,76.0000,0.9764,0.9607,0.9936
231,35,74.2061,76.0000,0.9764,0.9607,0.9936
232,35,74.2061,76.0000,0.9764,0.9607,0.9936
233,35,74.2061,76.0000,0.9764,0.9607,0.9936
234,26,102.2177,104.0000,0.9829,0.9632,0.9939
235,35,74.2061,76.0000,0.9764,0.9607,0.9936
236,35,74.2061,76.0000,0.9764,0.9607,0.9936
237,35,74.2061,76.0000,0.9764,0.9607,0.9936
238,21,192.6217,196.0000,0.9828,0.9609,0.9950
239,21,192.6217,196.0000,0.9828,0.9609,0.9950
240,26,102.2177,104.0000,0.9829,0.9632,0.9939
241,34,47.0656,48.0000,0.9805,0.9651,0.9933
242,34,47.0656,48.0000,0.9805,0.9651,0.9933
243,34,47.0656,48.0000,0.9805,0.9651,0.9933
244,34,47.0656,48.0000,0.9805,0.9651,0.9933
245,35,74.2061,76.0000,0.9764,0.9607,0.9936
246,17,58.8723,60.0000,0.9812,0.9631,0.9950
247,35,74.2061,76.0000,0.9764,0.9607,0.9936
248,35,74.2061,76.0000,0.9764,0.9607,0.9936
249,36,119.4491,122.0000,0.9791,0.9625,0.9946
250,36,119.4491,122.0000,0.9791,0.9625,0.9946
251,36,119.4491,122.0000,0.9791,0.9625,0.9946
252,21,192.6217,196.0000,0.9828,0.9609,0.9950
253,36,119.4491,122.0000,0.9791,0.9625,0.9946
254,36,119.4491,122.0000,0.9791,0.9625,0.9946
255,36,119.4491,122.0000,0.9791,0.9625,0.9946
256,36,119.4491,122.0000,0.9791,0.9625,0.9946
257,37,15.6457,16.0000,0.9779,0.9681,0.9888
258,37,15.6457,16.0000,0.9779,0.9681,0.9888
259,36,119.4491,122.0000,0.9791,0.9625,0.9946
260,36,119.4491,122.0000,0.9791,0.9625,0.9946
261,26,102.2177,104.0000,0.9829,0.9632,0.9939
262,36,119.4491,122.0000,0.9791,0.9625,0.9946
263,36,119.4491,122.0000,0.9791,0.9625,0.9946
264,38,46.9907,48.0000,0.9790,0.9666,0.9937
265,38,46.9907,48.0000,0.9790,0.9666,0.9937
266,39,0.0000,0.0000,0.0000,0.0000,0.0000
267,38,46.9907,48.0000,0.9790,0.9666,0.9937
268,38,46.9907,48.0000,0.9790,0.9666,0.9937
269,36,119.4491,122.0000,0.9791,0.9625,0.9946
270,36,119.4491,122.0000,0.9791,0.9625,0.9946
271,36,119.4491,122.0000,0.9791,0.9625,0.9946
272,26,102.2177,104.0000,0.9829,0.9632,0.9939
273,36,119.4491,122.0000,0.9791,0.9625,0.9946
274,37,15.6457,16.0000,0.9779,0.9681,0.9888
275,37,15.6457,16.0000,0.9779,0.9681,0.9888
276,36,119.4491,122.0000,0.9791,0.9625,0.9946
277,40,23.4281,24.0000,0.9762,0.9635,0.9909
278,3,94.2310,96.0000,0.9816,0.9709,0.9940
279,36,119.4491,122.0000,0.9791,0.9625,0.9946
280,36,119.4491,122.0000,0.9791,0.9625,0.9946
